KEYWORD	TITLE	ASTM_FOUND	PROPOSED	FLAG
AS_93348_001	آزمون تعیین عدد اکتان	D2699; D2700		CHOOSE: D2699, D2700
AS_45859_002	آزمون خوردگی در دمای 121 درجه سانتی گراد	-		CHECK (ASTM w/o D-letter: D5968)
AS_80528_003	آزمون خوردگی در دمای 135 درجه سانتی گراد	D6594	D6594	OK
AS_89969_004	آزمون قابلیت جدا شدن آب از روغن و سیال های سنتزی	-		NO-ASTM (only: ISO 6614 2019)
AS_74465_005	آزمون لکه مواد قیری	-		NO-ASTM (only: AASHTO T 102-83 2007 Table 1)
AS_30633_006	آماده سازی نمونه فرآورده های نفتی و روان کننده برای آنالیز	-		NO-ASTM (only: INSO 18033)
AS_67685_007	اندازه گیرى عدد اسیدى	-		NO-ASTM (only: INSO 199 1401 Clause 8)
AS_23337_008	اندازه گیری آب از طریق تیتراسیون کارل فیشر(کولومتری)	D6304	D6304	OK
AS_02327_009	اندازه گیری آب به روش تقطیر	D4006; D95		CHOOSE: D4006, D95
AS_71882_010	اندازه گیری آب در افزودنی ها به روش تیتراسیون کلومتری با دستگاه کارل فیشر	D6304	D6304	OK
AS_36513_011	اندازه گیری آب و رسوبات به روش سانتریفیوژ	D4007	D4007	OK
AS_94572_012	اندازه گیری آلومینیوم به روش طیف سنجی نشر اتمی پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_47030_013	اندازه گیری اب به روش کارل فیشرودین استارک	-		NO-ASTM (only: ISIRI 154 1375 Clause 4)
AS_95874_014	اندازه گیری استرانسیم به روش طیف سنجی نشر اتمی پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_91033_015	اندازه گیری اسید آزاد	D128	D128	OK
AS_10149_016	اندازه گیری باریم به روش طیف سنجی نشر اتمی پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_38791_017	اندازه گیری بور به روش طیف سنجی نشر اتمی پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 21565 1401)
AS_35589_018	اندازه گیری تیتانیوم به روش طیف سنجی نشر اتمی پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_66643_019	اندازه گیری جیوه کل به روش احتراق و جذب اتمی بخار سرد مستقیم با تصحیح زمینه زیمان	-		NO-ASTM (only: INSO 15722 1402)
AS_09521_020	اندازه گیری خاکستر	D482	D482	OK
AS_78253_021	اندازه گیری خوردگی نوار مسى	-		NO-ASTM (only: INSO 3299 1402 Table 1)
AS_98760_022	اندازه گیری دانسیته	D1481; D446		CHOOSE: D1481, D446
AS_94053_023	اندازه گیری دانسیته و دانسیته نسبی مایعات به وسیله دانسیته متر دیجیتالی	D4294	D4294	OK
AS_97955_024	اندازه گیری درصد عبور UV از گلایکول	E2193	E2193	OK
AS_87712_025	اندازه گیری رسوب به روش استخراج	D473	D473	OK
AS_79882_026	اندازه گیری رنگ	D1500	D1500	OK
AS_63324_027	اندازه گیری رنگ سیبلت	D156	D156	TRAP-FIX (verify)
AS_76436_028	اندازه گیری روغن	-		NO-ASTM (only: INSO 2544 1401)
AS_59828_029	اندازه گیری روی به وسیله دستگاه طیف سنج نشر اتمی - پلاسمای القایی	-		NO-ASTM (only: INSO 22260 1402 Table 1)
AS_47277_030	اندازه گیری سدیم توسط طیف سنجی نشر پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_45333_031	اندازه گیری سرب به روش طیف سنجی نشر اتمی پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_12987_032	اندازه گیری سیلیسیم به روش طیف سنجی نشر اتمی پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_99825_033	اندازه گیری عدد اسیدی	-		NO-ASTM (only: INSO 18030 1402)
AS_40113_034	اندازه گیری عدد اسیدی -روش تیتراسیون پتانسیومتری	D664	D664	OK
AS_03506_035	اندازه گیری عدد اکتان بنزین به روش موتور	D2700	D2700	OK
AS_13570_036	اندازه گیری عدد قلیائى کل	-		NO-ASTM (only: INSO 22260 1402 Table 1)
AS_83735_037	اندازه گیری عدد قلیایی - روش تیتراسیون	D2896	D2896	OK
AS_44049_038	اندازه گیری عدد قلیایی-روش پتانسیومتری پرکلریک	D2896	D2896	OK
AS_16863_039	اندازه گیری عناصر آهن توسط طیف سنجی نشری پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_60313_040	اندازه گیری عناصر منگنز توسط طیف سنجی نشری پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_23576_041	اندازه گیری عناصر منیزیم توسط طیف سنجی نشری پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_08653_042	اندازه گیری عناصر کبالت توسط طیف سنجی نشری پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_11628_043	اندازه گیری عناصرروی توسط طیف سنجی نشری پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_93437_044	اندازه گیری عناصرمس توسط طیف سنجی نشری پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_30561_045	اندازه گیری غلظت اسید ینزوئیک و اسید سوربیک به روش کروماتوگرافی مایع با کارایی بالا	-		NO-ASTM (only: INSO 11541 1400)
AS_20090_046	اندازه گیری فسفر به وسیله دستگاه طیف سنج نشر اتمی - پلاسمای القایی	-		NO-ASTM (only: INSO 22260 1402 Table 1)
AS_85250_047	اندازه گیری فشار بخار (روش رید)	D323	D323	OK
AS_66814_048	اندازه گیری قلع به روش طیف سنجی نشر اتمی پلاسمای جفت شده القایی	-		NO-ASTM (only: INSO 14451 1401)
AS_97511_049	اندازه گیری قلیایی آزاد	D128	D128	OK
AS_15785_050	اندازه گیری قلیاییت کل	-		NO-ASTM (only: INSO 22260-A1 1399)
