Title | Client_title | SampleType_title | service | min | max | error
Analysis Specifications |  |  |  |  |  | 
Title | Client_title | SampleType_title | service | min | max | error
نفت گاز |  | نفت گاز | اندازه گیری میزان خاکستر برحسب درصد وزنی |  | 0.01 | 
نفت گاز |  | نفت گاز | تعیین رنگ بر اساس مقیاس ASTM |  | 2 | 
نفت گاز |  | نفت گاز | اندازه گیری نقطه اشتعال با دستگاه سربسته پنسکی مارتنز | 55 | 999999 | 
نفت گاز |  | نفت گاز | گرانروی در 40 درجه سانتی گراد | 2 | 4.5 | 
نفت گاز |  | نفت گاز | اندازه گیری آب از طریق تیتراسیون کارل فیشر(کولومتری) |  | 200 | 
نفت گاز |  | نفت گاز | اندازه گیری چگالی،چگالی نسبی یا گراویتی API با استفاده از روش هیدرومتر | 820 | 845 | 
نفت گاز |  | نفت گاز | محاسبه شاخص ستان سوخت های حاصل از بخش میانی برج تقطیر به روش معادله چهار متغیره | 46 | 999999 | 
نفت گاز |  | نفت گاز | تشخیص خوردگی تیغه مسی |  | 1 | 
نفت گاز |  | نفت گاز | اندازه گیری نقطه اشتعال با دستگاه سربسته پنسکى مارتنز | 55 | 999999 | 
